station,time,schools,tech,traffic,comb_score
B'WAY-LAFAYETTE,8,2,14,4255.25,0.144408074743
FULTON ST,12,3,0,34212.1458334,0.144180560499
49 ST,4,6,1,1768.5,0.143791807481
125 ST,20,3,0,33877.625,0.143422642171
B'WAY-LAFAYETTE,0,2,14,3592.5,0.142906493013
PRINCE ST,4,2,15,564.839895999,0.142498386417
ASTOR PL,16,4,5,9279.5625,0.142171504918
ASTOR PL,12,4,5,8394.1875,0.140165525401
8 ST-NYU,0,4,6,5198.0,0.139375589068
14TH STREET,16,5,2,6642.72393627,0.139064646841
WALL ST,8,1,15,8625.810435,0.138539772026
LEXINGTON AV/53,20,5,2,6352.0,0.13840595842
LEXINGTON AV/53,8,5,2,6093.0,0.137819146397
B'WAY-LAFAYETTE,4,2,14,1209.5,0.137507369266
ASTOR PL,20,4,5,6957.75,0.136911012679
8 ST-NYU,8,4,6,4016.5,0.136698684029
WALL ST,20,1,15,7416.0,0.135798724502
14TH STREET,20,5,2,5031.08147916,0.135413175141
14 ST,4,5,2,4944.625,0.135217292124
14TH STREET,12,5,2,4826.90566695,0.134950577375
5 AVE,16,5,1,7527.5,0.134617656454
BOWLING GREEN,16,1,12,15242.0,0.134175124753
RECTOR ST,16,1,14,7992.0,0.130652145287
8 ST-NYU,4,4,6,1299.5,0.130542821998
ASTOR PL,8,4,5,3857.25,0.129886261031
1 AV,16,4,0,17990.0,0.1296485348
14TH STREET,8,5,2,2343.5624008,0.129324107547
14TH STREET,0,5,2,2304.70935672,0.129236078847
LEXINGTON AV/53,0,5,2,2263.5,0.129142711488
RECTOR ST,12,1,14,7220.5,0.128904170477
ASTOR PL,0,4,5,3385.0,0.128816292005
BOWLING GREEN,12,1,12,12516.5,0.128000004412
W 4 ST-WASH SQ,16,2,2,31092.125,0.127792584405
5 AVE,12,5,1,4478.0,0.127708454664
68ST-HUNTER CO,16,4,1,14206.0,0.127526801393
68ST-HUNTER CO,12,4,1,13919.375,0.126877399864
LEXINGTON AV/53,4,5,2,1139.5,0.12659608325
14TH STREET,4,5,2,1137.61746031,0.126591818011
BLEECKER ST,16,1,12,11816.0,0.12641289313
1 AV,12,4,0,16537.5,0.126357629537
5 AVE,20,5,1,3779.0,0.126124741908
59 ST,16,0,0,55650.8333334,0.12608717406
FORDHAM RD,12,4,0,16327.5,0.125881836005
ASTOR PL,4,4,5,1391.625,0.124299935186
WALL ST,0,1,15,2163.75,0.123898788413
WALL ST,4,1,15,2005.5,0.123540244002
RECTOR ST,8,1,14,4482.0,0.122699596251
ATL AV-BARCLAY,16,2,0,34420.5,0.122430402871
ROOSEVELT ISLND,12,5,0,4587.0,0.121503801261
BLEECKER ST,12,1,12,9565.5,0.121313972445
5 AVE,8,5,1,1464.0,0.120879684638
3 AV-149 ST,12,4,0,13964.5,0.120528025928
1 AV,20,4,0,13921.5,0.120430601538
ROOSEVELT ISLND,16,5,0,4084.0,0.120364162468
5 AVE,0,5,1,1127.0,0.120116149303
FORDHAM RD,16,4,0,13753.0,0.120048833871
ROOSEVELT ISLND,8,5,0,3909.5,0.119968800699
RECTOR ST,20,1,14,2947.5,0.119222904942
W 4 ST-WASH SQ,20,2,2,27153.25,0.118868340365
FORDHAM RD,8,4,0,13076.0,0.118514966151
BROAD ST,16,1,14,2604.25,0.118445209086
5 AVE,4,5,1,348.5,0.118352314709
BROAD ST,12,1,14,2174.875,0.117472381239
BLEECKER ST,20,1,12,7861.0,0.117452114944
72 ST,20,3,0,22391.125,0.11739786881
BROAD ST,20,1,14,1418.375,0.115758391682
ATL AV-BARCLAY,12,2,0,31424.5,0.115642415147
59 ST COLUMBUS,0,4,1,8916.0,0.115541335752
ROOSEVELT ISLND,20,5,0,1673.0,0.114901599583
BROAD ST,8,1,14,1025.125,0.114867411651
72 ST,8,3,0,21176.0,0.114644780164
RECTOR ST,4,1,14,658.0,0.114035622601
RECTOR ST,0,1,14,614.0,0.113935932528
3 AV-149 ST,8,4,0,11045.5,0.113914495832
BROAD ST,0,1,14,488.125,0.113650739619
3 AV-149 ST,16,4,0,10778.0,0.1133084255
BROAD ST,4,1,14,313.625,0.113255377851
59 ST,12,0,0,49755.0,0.112729081841
68ST-HUNTER CO,8,4,1,7621.625,0.11260869169
W 4 ST-WASH SQ,12,2,2,24373.625,0.112570589905
ROOSEVELT ISLND,4,5,0,610.0,0.112493178038
BOWLING GREEN,8,1,12,5441.5,0.111970293749
ROOSEVELT ISLND,0,5,0,333.5,0.111866716554
FULTON ST,20,3,0,19739.375,0.111389842626
68ST-HUNTER CO,20,4,1,7004.125,0.111209632138
1 AV,8,4,0,9824.5,0.111148096296
SPRING ST,16,1,7,19232.0,0.110957137346
BOWLING GREEN,20,1,12,4808.5,0.110536116103
BLEECKER ST,0,1,12,4462.0,0.109751056775
CANAL ST,20,1,3,30008.625,0.109567107029
CORTLANDT ST,16,1,10,9821.375,0.108990478401
BLEECKER ST,8,1,12,4032.0,0.108776812876
CORTLANDT ST,12,1,10,8895.65747334,0.106893095488
FULTON ST,8,3,0,17435.9166667,0.10617093512
FORDHAM RD,20,4,0,7529.0,0.105947219854
FORDHAM RD,4,4,0,7372.0,0.105591507547
1 AV,0,4,0,7173.5,0.105141769375
59 ST COLUMBUS,4,4,1,4274.0,0.105024033011
66 ST-LINCOLN,16,3,0,16479.25,0.104003431252
3 AV,16,4,0,6242.5,0.10303241805
BOWLING GREEN,4,1,12,1444.5,0.102914356856
BLEECKER ST,4,1,12,1264.0,0.102505400987
BOWLING GREEN,0,1,12,1231.5,0.102431766274
116 ST,12,2,0,25324.875,0.101822595515
96 ST,12,0,0,44876.0,0.101674812113
3 AV-149 ST,20,4,0,5581.5,0.101534801265
3 AV,20,4,0,5482.5,0.1013104986
SPRING ST,12,1,7,14718.0,0.10072984209
3 AV-149 ST,4,4,0,5059.0,0.100350981644
66 ST-LINCOLN,12,3,0,14747.125,0.100078984244
3 AV,12,4,0,4922.5,0.100041715848
68ST-HUNTER CO,4,4,1,2042.25,0.0999675938912
3 AV 138 ST,12,4,0,4659.375,0.099445557881
68ST-HUNTER CO,0,4,1,1753.125,0.0993125281533
135 ST,12,3,0,14154.875,0.0987371331992
3 AV 138 ST,8,4,0,4216.5,0.0984421433072
CHAMBERS ST,16,1,1,30715.0284745,0.0982643679092
125 ST,4,3,0,13644.75,0.097581351411
3 AV 138 ST,16,4,0,3242.25,0.0962348011711
CORTLANDT ST,20,1,10,4129.625,0.09609477442
JAY ST-METROTEC,12,2,0,22776.25,0.0960482179403
LEXINGTON AV/63,16,3,2,7224.0,0.0959371899753
3 AV,0,4,0,3046.0,0.095790160787
125 ST,0,3,0,12814.375,0.0956999844864
CHAMBERS ST,12,1,1,29429.7821679,0.095352406577
3 AV 138 ST,4,4,0,2733.625,0.095082417908
116 ST,16,2,0,22317.25,0.0950082692203
86 ST,8,0,0,41849.625,0.0948180042538
CORTLANDT ST,8,1,10,3480.05095863,0.0946230452416
BEDFORD AV,16,1,0,31920.5,0.0945439719341
1 AV,4,4,0,2492.0,0.0945349721358
ATL AV-BARCLAY,20,2,0,21922.0,0.0941127578225
3 AV,8,4,0,1958.5,0.093326229996
3 AV 138 ST,20,4,0,1835.75,0.0930481173481
JAY ST-METROTEC,16,2,0,21427.5,0.0929923773387
135 ST,8,3,0,11500.0,0.0927220267546
LEXINGTON AV/63,12,3,2,5786.0,0.0926791371226
FORDHAM RD,0,4,0,1657.0,0.092643126425
103 ST,12,2,0,21177.0,0.0924248236255
3 AV-149 ST,0,4,0,1375.5,0.0920053365238
66 ST-LINCOLN,20,3,0,10938.0,0.0914487126355
96 ST,16,0,0,40306.25,0.0913212050038
135 ST,16,3,0,10679.75,0.0908635998753
3 AV 138 ST,0,4,0,768.25,0.0906295002269
3 AV,4,4,0,628.0,0.090311738118
KINGSBRIDGE RD,12,3,0,10414.25,0.0902620609098
KINGSBRIDGE RD,8,3,0,10100.625,0.0895514859265
CORTLANDT ST,0,1,10,790.375,0.0885290908397
DEKALB AV,12,2,0,19387.0,0.0883692501857
57 ST,16,3,0,9502.875,0.0881971736228
LEXINGTON AV/63,20,3,2,3778.0,0.0881296446829
FLUSHING-MAIN,12,0,0,38856.5,0.0880365303701
SPRING ST,20,1,7,9067.5,0.0879275975532
CORTLANDT ST,4,1,10,488.875,0.0878459872687
W 4 ST-WASH SQ,0,2,2,13238.125,0.0873410714477
BEDFORD AV,12,1,0,28564.5,0.0869403381554
LEXINGTON AV/63,8,3,2,3197.5,0.0868144154193
ATL AV-BARCLAY,8,2,0,18445.0,0.086234976342
CHRISTOPHER ST,16,2,2,12638.494642,0.085982498848
FLUSHING-MAIN,8,0,0,37574.0,0.0851307912994
116 ST,8,2,0,17780.9607619,0.0847304736061
57 ST,12,3,0,7898.625,0.0845624508905
103 ST,16,2,0,17661.375,0.0844595301203
145 ST,12,1,0,27452.5,0.084420898119
KINGSBRIDGE RD,4,3,0,7491.375,0.0836397512909
KINGSBRIDGE RD,16,3,0,7453.0,0.0835528056871
BEDFORD PK BLVD,12,3,0,7205.10833675,0.0829911616394
LEXINGTON AV/63,0,3,2,1510.0,0.0829910745368
JKSN HT-ROOSVLT,12,0,0,36565.0,0.0828447166621
103 ST,8,2,0,16941.5268395,0.0828285820306
CHRISTOPHER ST,20,2,2,11185.1609771,0.0826897047639
86 ST,20,0,0,36458.0,0.0826022885291
66 ST-LINCOLN,8,3,0,6994.1003294,0.0825130842818
FLUSHING-MAIN,16,0,0,36395.0,0.0824595504695
DEKALB AV,8,2,0,16696.25,0.082272862346
LEXINGTON AV/63,4,3,2,1040.0,0.0819262032985
BEDFORD PK BLVD,8,3,0,6657.25312756,0.0817498951393
W 4 ST-WASH SQ,8,2,2,10648.25,0.0814732344297
135 ST,20,3,0,6365.375,0.0810885916858
CANAL ST,8,1,3,17297.5838352,0.0807679109735
161/YANKEE STAD,16,1,0,25787.1041667,0.0806476382819
BOROUGH HALL,12,2,0,15766.5,0.080166343125
57 ST,20,3,0,5854.75,0.0799316770558
NEVINS ST,16,3,0,5837.5,0.0798925940156
FULTON ST,0,3,0,5785.33333334,0.0797744008605
72 ST,0,3,0,5541.125,0.0792211020725
DEKALB AV,16,2,0,15325.25,0.0791666102868
BOROUGH HALL,16,2,0,15148.5,0.0787661507307
21 ST-QNSBRIDGE,8,3,0,5208.0,0.0784663462613
BEDFORD PK BLVD,16,3,0,5204.27604594,0.07845790896
NEVINS ST,12,3,0,5129.5,0.0782884901076
21 ST-QNSBRIDGE,12,3,0,5105.5,0.078234113704
CHRISTOPHER ST,12,2,2,9142.13723545,0.0780608596111
SPRING ST,8,1,7,4627.5,0.0778679628758
JKSN HT-ROOSVLT,8,0,0,34128.0,0.077323246007
72 ST,4,3,0,4624.0,0.0771431871055
LAFAYETTE AV,16,3,0,4599.875,0.0770885274914
81 ST-MUSEUM,16,2,1,11557.125,0.0770808446047
FULTON ST,4,3,0,4509.875,0.0768846159777
CATHEDRAL PKWY,12,2,0,14295.25,0.0768329562963
145 ST,8,1,0,24022.5,0.0766496037624
BEDFORD PK BLVD,4,3,0,4385.08541837,0.0766018822834
LAFAYETTE AV,12,3,0,4267.25,0.0763349045219
96 ST,8,0,0,33690.375,0.0763317262714
103 ST-CORONA,8,2,0,14057.0,0.0762931572058
183 ST,8,3,0,4222.5,0.0762335151859
183 ST,12,3,0,4217.5,0.0762221867685
21 ST-QNSBRIDGE,16,3,0,4184.5,0.0761474192134
KINGSBRIDGE RD,20,3,0,4145.375,0.0760587743471
81 ST-MUSEUM,12,2,1,11012.125,0.0758460471049
VERNON-JACKSON,12,2,1,10590.5,0.0748907783051
182-183 STS,8,3,0,3560.5,0.0747336327182
182-183 STS,12,3,0,3539.5,0.074686053365
135 ST,4,3,0,3420.625,0.0744167202406
JAY ST-METROTEC,8,2,0,13121.0,0.074172477463
NEVINS ST,20,3,0,3301.0,0.0741456878536
LAFAYETTE AV,20,3,0,3290.125,0.0741210485457
66 ST-LINCOLN,0,3,0,3250.0,0.0740301379959
57 ST,8,3,0,3231.75,0.0739887892722
SPRING ST,0,1,7,2793.0,0.0737115665209
BEDFORD PK BLVD,20,3,0,2922.875,0.0732889762855
183 ST,16,3,0,2845.0,0.0731125361841
183 ST,4,3,0,2684.5,0.0727488939846
NEVINS ST,8,3,0,2479.0,0.0722832960282
182-183 STS,16,3,0,2372.0,0.0720408678952
CATHEDRAL PKWY,16,2,0,12140.375,0.0719506915946
LAFAYETTE AV,8,3,0,2318.625,0.0719199370392
103 ST-CORONA,12,2,0,12057.5,0.0717629230757
137 ST CITY COL,12,2,0,12043.5,0.0717312035069
182-183 STS,4,3,0,2235.0,0.0717304692577
VERNON-JACKSON,16,2,1,9135.25,0.0715936424123
116 ST,20,2,0,11905.125,0.0714176895546
135 ST,0,3,0,2083.875,0.0713880678409
50 ST,16,0,0,31504.0,0.07137809254
CHRISTOPHER ST,0,2,2,6152.52609127,0.0712873470125
8 AV,16,0,0,31407.5,0.0711594540836
57 ST,0,3,0,1920.875,0.0710187614327
183 ST,20,3,0,1831.0,0.0708151331294
21 ST-QNSBRIDGE,20,3,0,1818.0,0.070785679244
FRANKLIN AV,12,2,0,11496.1875,0.0704911666141
21 ST-QNSBRIDGE,4,3,0,1637.5,0.0703767233748
KINGSBRIDGE RD,0,3,0,1552.75,0.0701847066994
182-183 STS,20,3,0,1466.5,0.0699892914987
66 ST-LINCOLN,4,3,0,1439.75,0.0699286844655
BEDFORD AV,20,1,0,20850.0,0.0694617229033
JAY ST-METROTEC,20,2,0,11004.0,0.0693760255233
21 ST,16,3,0,1161.625,0.069298541246
SPRING ST,4,1,7,780.5,0.0691518785056
21 ST,12,3,0,1084.75,0.069124366828
LAFAYETTE AV,0,3,0,1060.125,0.0690685743722
145 ST,16,1,0,20648.0,0.0690040548392
57 ST,4,3,0,991.5,0.0689130918429
W 4 ST-WASH SQ,4,2,2,5062.5,0.0688176928983
NEVINS ST,0,3,0,927.5,0.0687680880998
YORK ST,16,2,1,7841.25,0.0686618479815
BEDFORD PK BLVD,0,3,0,846.230209188,0.0685839564769
NEVINS ST,4,3,0,824.0,0.0685335898591
21 ST,20,3,0,796.625,0.0684715667736
VERNON-JACKSON,8,2,1,7745.0,0.068443775946
137 ST CITY COL,8,2,0,10508.5,0.0682533793561
LAFAYETTE AV,4,3,0,696.5,0.0682447152146
CATHEDRAL PKWY,8,2,0,10454.875,0.0681318820791
21 ST,8,3,0,610.0,0.0680487335931
21 ST-QNSBRIDGE,0,3,0,520.5,0.0678459549211
YORK ST,12,2,1,7437.75,0.067747644695
183 ST,0,3,0,471.0,0.0677338035885
JKSN HT-ROOSVLT,16,0,0,29824.0,0.0675717442836
21 ST,0,3,0,385.125,0.0675392380192
182-183 STS,0,3,0,369.5,0.0675038367147
21 ST,4,3,0,289.75,0.0673231484567
HIGH ST,16,2,2,4320.0,0.06713542291
WHITEHALL S-FRY,16,0,6,12443.0,0.0669015770345
HOUSTON ST,16,1,5,5450.375,0.0668291113678
103 ST,20,2,0,9610.25,0.0662182291649
HIGH ST,12,2,2,3793.5,0.0659425405547
CHRISTOPHER ST,8,2,2,3627.95416667,0.0655674660939
103 ST-CORONA,4,2,0,9307.0,0.0655311606478
WHITEHALL S-FRY,12,0,6,11794.875,0.0654331309252
ATL AV-BARCLAY,0,2,0,9192.5,0.0652717398886
HOUSTON ST,12,1,5,4758.25,0.0652609751852
8 AV,12,0,0,28770.875,0.0651856963625
HIGH ST,20,2,2,3389.0,0.0650260715846
FRANKLIN AV,16,2,0,8858.875,0.0645158512356
CHAMBERS ST,20,1,1,15784.7747811,0.0644371386757
137 ST CITY COL,16,2,0,8687.875,0.0641284193596
FRANKLIN AV,8,2,0,8665.5625,0.0640778662968
WORLD TRADE CTR,16,1,3,9856.5,0.0639087702107
QUEENSBORO PLZ,12,2,0,8403.0,0.0634829827765
59 ST,20,0,0,28013.6666667,0.0634701019463
HOUSTON ST,20,1,5,3964.5,0.0634625889182
59 ST,8,0,0,28008.2797812,0.063457896969
BOROUGH HALL,8,2,0,8316.5,0.063287001155
VERNON-JACKSON,20,2,1,5435.5,0.0632111799353
103 ST-CORONA,16,2,0,8174.5,0.0629652741
BOROUGH HALL,20,2,0,8028.0,0.0626333514693
DEKALB AV,20,2,0,8021.5,0.0626186245266
81 ST-MUSEUM,20,2,1,5056.25,0.0623519194733
WORLD TRADE CTR,12,1,3,8930.5,0.0618107473028
YORK ST,20,2,1,4784.75,0.0617367864069
BURNSIDE AV,12,2,0,7390.0,0.0611878454053
HOYT-SCHER,16,2,0,7358.0,0.0611153435337
HIGH ST,8,2,2,1550.5,0.0608606124958
NOSTRAND AV,12,1,0,16985.0,0.0607048562303
CHRISTOPHER ST,4,2,2,1476.25859788,0.060692404977
BERGEN ST,12,2,0,7105.625,0.060543541664
QUEENSBORO PLZ,8,2,0,7054.0,0.060426575754
116 ST,4,2,0,6984.875,0.0602699603831
QUEENSBORO PLZ,16,2,0,6963.0,0.0602203985568
116 ST-COLUMBIA,12,2,0,6814.73851755,0.0598844849644
2 AV,16,1,1,13721.0,0.0597612782356
CHAMBERS ST,8,1,1,13709.6515026,0.0597355661323
CANAL ST,0,1,3,7983.625,0.0596654282521
CLARK ST,16,2,0,6655.5,0.0595237008849
HOYT-SCHER,12,2,0,6620.75,0.0594449683838
BERGEN ST,16,2,0,6571.25,0.0593328170512
HOUSTON ST,8,1,5,2139.875,0.0593285661878
CATHEDRAL PKWY,20,2,0,6534.875,0.0592504028144
BURNSIDE AV,8,2,0,6518.0,0.0592121694056
CLARK ST,12,2,0,6430.5,0.0590139221006
116 ST-COLUMBIA,16,2,0,6248.375,0.0586012844957
COURT SQ,16,2,0,6241.5,0.0585857079217
COURT SQ,12,2,0,6227.5,0.0585539883529
HOUSTON ST,0,1,5,1671.75,0.0582679431059
HIGH ST,4,2,2,383.5,0.0582165598677
ATL AV-BARCLAY,4,2,0,6075.5,0.0582096044631
HIGH ST,0,2,2,353.5,0.0581485893632
TREMONT AV,8,2,0,6024.0,0.0580929217635
81 ST-MUSEUM,8,2,1,3155.25,0.0580448551666
YORK ST,8,2,1,3124.38579749,0.0579749266527
DEKALB AV,4,2,0,5936.0,0.0578935416168
50 ST,12,0,0,25511.5,0.0578009842507
103 ST,4,2,0,5823.25,0.0576380858037
HOYT ST,16,2,0,5677.5,0.0573078624357
HOYT ST,12,2,0,5607.0,0.0571481317499
36 AV,12,2,0,5527.0,0.056966877071
CONEY IS-STILLW,16,0,0,25136.625,0.0569516361539
FRANKLIN AV,20,2,0,5239.0,0.0563143602271
161/YANKEE STAD,12,1,0,15007.9458334,0.0562254772542
TREMONT AV,12,2,0,5122.88206795,0.056051273746
BURNSIDE AV,16,2,0,5116.0,0.0560356811583
HOUSTON ST,4,1,5,686.375,0.056035395241
2 AV,12,1,1,11858.0,0.0555403099013
TREMONT AV,4,2,0,4832.875,0.0553942095214
137 ST CITY COL,4,2,0,4679.5,0.0550467103167
BERGEN ST,8,2,0,4583.97359155,0.0548302777106
137 ST CITY COL,20,2,0,4552.5,0.054758968514
36 AV,8,2,0,4503.5,0.0546479500232
VERNON-JACKSON,0,2,1,1613.5,0.0545517376522
QUEENS PLAZA,12,2,0,4335.375,0.0542670319872
103 ST-CORONA,20,2,0,4316.0,0.0542231343696
VERNON-JACKSON,4,2,1,1442.5,0.0541643057761
36 AV,16,2,0,4275.0,0.0541302413467
NOSTRAND AV,8,1,0,13924.5,0.0537707319217
YORK ST,0,2,1,1207.875,0.0536327197882
81 ST-MUSEUM,0,2,1,1156.375,0.0535160370887
116 ST,0,2,0,3968.875,0.0534366589896
TREMONT AV,16,2,0,3934.25,0.0533582096989
BERGEN ST,20,2,0,3933.625,0.0533567936467
77 ST,12,0,0,23523.25,0.0532962390598
CLARK ST,20,2,0,3902.5,0.0532862742482
MYRTLE-WILLOUGH,12,2,0,3899.375,0.0532791939873
COURT SQ,8,2,0,3875.0,0.0532239679523
HOYT-SCHER,20,2,0,3832.5,0.0531276764042
207 ST,12,2,0,3797.0,0.0530472446404
116 ST-COLUMBIA,8,2,0,3765.25782107,0.0529753269098
BURNSIDE AV,4,2,0,3749.0,0.0529384918331
161/YANKEE STAD,20,1,0,13549.8583333,0.0529219124844
CLARK ST,8,2,0,3737.0,0.0529113036313
YORK ST,4,2,1,869.625,0.0528663523491
NOSTRAND AV,16,1,0,13459.0,0.052716056259
